New Name,Old Name
Debt Scheme - Banking and PSU,Debt Scheme - Banking and PSU Fund
Debt Scheme - Corporate Bond,Debt Scheme - Corporate Bond Fund
Debt Scheme - Credit Risk,Debt Scheme - Credit Risk Fund
Debt Scheme - Dynamic Bond,Debt Scheme - Dynamic Bond
Debt Scheme - Floater,Debt Scheme - Floater Fund
Debt Scheme - Gilt,Debt Scheme - Gilt Fund
Debt Scheme - Gilt with 10 year constant duration,Debt Scheme - Gilt Fund with 10 year constant duration
Debt Scheme - Liquid,Debt Scheme - Liquid Fund
Debt Scheme - Long Duration,Debt Scheme - Long Duration Fund
Debt Scheme - Low Duration,Debt Scheme - Low Duration Fund
Debt Scheme - Medium Duration,Debt Scheme - Medium Duration Fund
Debt Scheme - Medium to Long Duration,Debt Scheme - Medium to Long Duration Fund
Debt Scheme - Money Market,Debt Scheme - Money Market Fund
Debt Scheme - Overnight,Debt Scheme - Overnight Fund
Debt Scheme - Short Duration,Debt Scheme - Short Duration Fund
Debt Scheme - Ultra Short Duration,Debt Scheme - Ultra Short Duration Fund
Equity Scheme - Contra,Equity Scheme - Contra Fund
Equity Scheme - Dividend Yield,Equity Scheme - Dividend Yield Fund
Equity Scheme - ELSS,Equity Scheme - ELSS
Equity Scheme - Focused,Equity Scheme - Focused Fund
Equity Scheme - Focused,Equity Scheme - Focussed Fund
Equity Scheme - Large & Mid Cap,Equity Scheme - Large & Mid Cap Fund
Equity Scheme - Large Cap,Equity Scheme - Large Cap Fund
Equity Scheme - Mid Cap,Equity Scheme - Mid Cap Fund
Equity Scheme - Multi Cap,Equity Scheme - Multi Cap Fund
Equity Scheme - Small Cap,Equity Scheme - Small Cap Fund
Equity Scheme - Value,Equity Scheme - Value Fund
Hybrid Scheme - Aggressive Hybrid,Hybrid Scheme - Aggressive Hybrid Fund
Hybrid Scheme - Arbitrage,Hybrid Scheme - Arbitrage Fund
Hybrid Scheme - Conservative Hybrid,Hybrid Scheme - Conservative Hybrid Fund
Hybrid Scheme - Equity Savings,Hybrid Scheme - Equity Savings
Hybrid Scheme - Multi Asset Allocation,Hybrid Scheme - Multi Asset Allocation
Other Scheme - FoFs(Oversease/Domestic),Other Scheme - FoF Domestic
Other Scheme - FoFs(Oversease/Domestic),Other Scheme - FoF Overseas
Other Scheme - Index Funds/ETFs,Other Scheme - Gold ETF
Other Scheme - Index Funds/ETFs,Other Scheme - Index Funds
Solution Scheme - Children's,Solution Oriented Scheme - Children’s Fund
Solution Scheme - Retirement,Solution Oriented Scheme - Retirement Fund
Other Scheme - Index Funds/ETFs,Other Scheme - Other  ETFs
Equity Scheme - ELSS,ELSS
Hybrid Scheme - Conservative Hybrid,Hybrid Scheme - Balanced Hybrid Fund
Hybrid Scheme - Multi Asset Allocation,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage
Debt Scheme - Gilt,Gilt
Debt Scheme - FMP,
