scheme_code,scheme_name,Risk
100033, Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Low to Moderate
100034, Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Low to Moderate
100037, Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Low to Moderate
100038, Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Low to Moderate
100041, Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Low to Moderate
100042, Aditya Birla Sun Life Liquid Fund-Retail (Growth),Low to Moderate
100043, Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Low to Moderate
100044, Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Low to Moderate
100046, Aditya Birla Sun Life Liquid Fund -Daily IDCW,Low to Moderate
100047, Aditya Birla Sun Life Liquid Fund - Growth,Low to Moderate
100048, Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Low to Moderate
100051, Aditya Birla Sun Life Liquid Fund -weekly IDCW,Low to Moderate
100057, Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Low to Moderate
100058, Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Low to Moderate
100063, Aditya Birla Sun Life MNC Fund - Regular - IDCW,Low to Moderate
100064, Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,Low to Moderate
100067, Aditya Birla Sun Life Tax Plan -Regular - IDCW,Low to Moderate
100119, HDFC Balanced Advantage Fund - Growth Plan,Low to Moderate
100120, HDFC Balanced Advantage Fund - IDCW Plan,Low to Moderate
100123, HDFC Income Fund - Quarterly IDCW Option,Low to Moderate
100124, HDFC Income Fund - Growth Option,Low to Moderate
100152, Principal Nifty 100 Equal Weight Fund-Income Distribution CUM Capital Withdrawal,Low to Moderate
100153, Principal Nifty 100 Equal Weight Fund-Growth,Low to Moderate
100156, Principal Tax Savings Fund,Low to Moderate
100174, quant Tax Plan - IDCW Option - Regular Plan,Low to Moderate
100175, quant Tax Plan - Growth Option - Regular Plan,Low to Moderate
100176, quant Small Cap Fund - IDCW Option - Regular Plan,Low to Moderate
100177, quant Small Cap Fund - Growth - Regular Plan,Low to Moderate
100218, JM Large Cap Fund (Regular) - IDCW ,Low to Moderate
100219, JM Large Cap Fund (Regular) - Growth Option,Low to Moderate
100220, JM Equity Hybrid Fund (Regular) - IDCW ,Low to Moderate
100221, JM Equity Hybrid Fund (Regular) -Growth Option,Low to Moderate
100222, JM Income Fund (Regular) - Quarterly IDCW ,Low to Moderate
100223, JM Income Fund (Regular) - Growth Option,Low to Moderate
100233, JM Liquid Fund (Regular) - Weekly IDCW,Low to Moderate
100234, JM Liquid Fund - Growth Option,Low to Moderate
100244, JM Liquid Fund (Regular) - Quarterly IDCW,Low to Moderate
100247, JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,Low to Moderate
100254, JM Value Fund (Regular) - Growth Option,Low to Moderate
100348, ICICI Prudential Large & Mid Cap Fund - IDCW,Low to Moderate
100349, ICICI Prudential Large & Mid Cap Fund - Growth,Low to Moderate
100351, ICICI Prudential FMCG Fund - IDCW,Low to Moderate
100352, ICICI Prudential FMCG Fund - Growth,Low to Moderate
100353, ICICI Prudential Long Term Equity Fund (Tax Saving)- IDCW,Low to Moderate
100354, ICICI Prudential Long Term Equity Fund (Tax Saving) - Growth,Low to Moderate
100355, ICICI Prudential Equity & Debt Fund - Monthly IDCW,Low to Moderate
100356, ICICI Prudential Equity & Debt Fund - Growth,Low to Moderate
100357, ICICI Prudential Liquid Fund -Quarterly IDCW,Low to Moderate
100359, ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,Low to Moderate
100363, ICICI Prudential Technology Fund - Growth,Low to Moderate
100364, ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,Low to Moderate
100365, ICICI Prudential Long Term Bond Fund - Growth,Low to Moderate
100366, ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,Low to Moderate
100367, ICICI Prudential Long Term Bond Fund - Quarterly IDCW,Low to Moderate
