scheme_code,scheme_name,Risk,nav,scheme_category,nfund_houseav,scheme_type,fund_house
100033, Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,nan,116.61000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100034, Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,nan,83.66000,Equity Scheme - Large & Mid Cap Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100037, Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,nan,10.11470,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100038, Aditya Birla Sun Life Income Fund - Growth - Regular Plan,nan,28.90930,Debt Scheme - Medium to Long Duration Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100041, Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,nan,10.80230,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100042, Aditya Birla Sun Life Liquid Fund-Retail (Growth),nan,18.84100,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100043, Aditya Birla Sun Life Liquid Fund-Institutional (Growth),nan,18.95390,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100044, Aditya Birla Sun Life Liquid Fund -Retail - IDCW,nan,16.36940,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100046, Aditya Birla Sun Life Liquid Fund -Daily IDCW,nan,10.01950,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100047, Aditya Birla Sun Life Liquid Fund - Growth,nan,11.10960,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100048, Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,nan,10.81070,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100051, Aditya Birla Sun Life Liquid Fund -weekly IDCW,nan,10.02630,Debt Scheme - Liquid Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100057, Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,nan,10.55430,Debt Scheme - Gilt Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100058, Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,nan,19.64140,Debt Scheme - Gilt Fund,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100063, Aditya Birla Sun Life MNC Fund - Regular - IDCW,nan,61.76000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100064, Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,nan,123.18000,Equity Scheme - Sectoral/ Thematic,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100067, Aditya Birla Sun Life Tax Plan -Regular - IDCW,nan,53.25000,Equity Scheme - ELSS,,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund
100068, BARODA ELSS 96 - Plan A - IDCW,Moderate,24.07000,Equity Scheme - ELSS,,Open Ended Schemes,Baroda Mutual Fund
100077, DSP Bond Fund - IDCW,Moderate,11.04100,Debt Scheme - Medium Duration Fund,,Open Ended Schemes,DSP Mutual Fund
100078, DSP Bond Fund - Growth,Moderate,23.81160,Debt Scheme - Medium Duration Fund,,Open Ended Schemes,DSP Mutual Fund
100079, DSP Bond Fund - IDCW - Monthly,Moderate,10.34990,Debt Scheme - Medium Duration Fund,,Open Ended Schemes,DSP Mutual Fund
100080, DSP Flexi Cap Fund - Regular Plan - IDCW,Very High,39.88000,Equity Scheme - Flexi Cap Fund,,Open Ended Schemes,DSP Mutual Fund
100081, DSP Equity & Bond Fund- Regular Plan - Growth,Very High,34.72000,Hybrid Scheme - Aggressive Hybrid Fund,,Open Ended Schemes,DSP Mutual Fund
100082, DSP Equity & Bond Fund- Regular Plan - IDCW,Very High,24.32000,Hybrid Scheme - Aggressive Hybrid Fund,,Open Ended Schemes,DSP Mutual Fund
100084, DSP Government Securities Fund - Regular Plan - Growth,Moderate,22.22970,Debt Scheme - Gilt Fund,,Open Ended Schemes,DSP Mutual Fund
100085, DSP Government Securities Fund - Regular Plan - IDCW,Moderate,11.37110,Debt Scheme - Gilt Fund,,Open Ended Schemes,DSP Mutual Fund
100086, DSP Government Securities Fund - Regular Plan - IDCW - Monthly,Moderate,10.05670,Debt Scheme - Gilt Fund,,Open Ended Schemes,DSP Mutual Fund
100087, DSP Savings Fund - Regular Plan - Growth,Moderate,16.02010,Debt Scheme - Money Market Fund,,Open Ended Schemes,DSP Mutual Fund
100088, DSP Savings Fund - Regular Plan - IDCW,Moderate,10.90780,Debt Scheme - Money Market Fund,,Open Ended Schemes,DSP Mutual Fund
100089, DSP Savings Fund - Regular Plan - IDCW - Monthly,Moderate,10.01770,Debt Scheme - Money Market Fund,,Open Ended Schemes,DSP Mutual Fund
100119, HDFC Balanced Advantage Fund - Growth Plan,nan,42.32900,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,,Open Ended Schemes,HDFC Mutual Fund
